序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,81,60,76,18,235
2,101,26,122,13,262
3,92,26,122,13,253
5,121,33,67,16,237
6,61,33,67,16,177
7,66,18,67,16,167
9,65,18,84,15,182
11,72,13,65,17,167
12,67,32,67,18,184
13,84,33,68,15,200
14,66,33,68,15,182
15,78,34,135,16,263
16,65,34,135,16,250
17,66,17,135,16,234
18,101,34,100,15,250
19,67,16,67,16,166
22,101,34,65,16,216
23,83,34,65,16,198
24,67,34,65,16,182
25,52,34,65,16,167
26,67,33,65,18,183
27,85,32,67,18,202
30,65,33,52,16,166
33,68,16,99,17,200
34,51,16,99,17,183
35,69,16,65,17,167
37,67,15,67,17,166
39,68,13,51,18,150
40,52,13,51,18,134
43,64,18,65,17,164
44,69,31,100,17,217
45,83,34,66,17,200
46,66,34,66,17,183
47,100,17,66,16,199
49,66,17,66,16,165
51,67,16,69,16,168
52,83,17,68,16,184
53,83,35,66,15,199
54,82,19,66,15,182
56,85,17,64,18,184
58,68,33,66,17,184
60,66,31,67,19,183
61,65,16,67,19,167
62,82,17,69,14,182
63,66,17,69,14,166
64,66,32,66,19,183
65,68,15,66,19,168
67,68,18,97,17,200
68,69,29,103,16,217
69,100,16,68,16,200
70,66,35,68,16,185
71,66,16,68,16,166
72,64,33,101,16,214
73,67,16,101,16,200
75,84,32,68,16,200
76,68,32,68,16,184
77,67,16,68,16,167
79,66,18,100,15,199
81,66,18,66,15,165
82,68,32,67,16,183
83,52,32,67,16,167
84,50,16,67,16,149
88,67,34,66,16,183
89,65,18,66,16,165
90,67,34,65,16,182
92,52,16,65,16,149
93,52,32,100,18,202
94,82,17,67,18,184
96,65,33,52,15,165
97,65,17,52,15,149
98,66,34,66,16,182
100,67,33,100,17,217
101,69,15,100,17,201
102,52,15,100,17,184
103,51,33,67,17,168
104,66,33,68,16,183
105,64,17,68,16,165
106,66,34,67,16,183
108,84,17,66,16,183
109,85,33,66,18,202
111,67,17,66,18,168
112,67,33,66,17,183
113,66,17,66,17,166
114,66,33,67,18,184
