序号,发送->接收,接收->转发,转发->接收,接收->处理,总计
1,0,53,76,17,146
2,40,17,19,17,93
3,32,17,19,17,85
5,0,17,19,17,53
6,19,32,16,35,102
7,32,51,14,19,116
9,0,51,14,19,84
11,19,33,49,33,134
12,33,16,33,33,115
13,19,16,33,33,101
14,16,33,33,19,101
15,15,18,33,19,85
16,18,52,15,18,103
17,0,52,15,18,85
18,18,19,15,18,70
19,19,15,18,15,67
22,0,15,15,19,49
23,15,19,15,18,67
24,19,33,33,15,100
25,15,18,33,15,81
26,18,48,20,33,119
27,0,48,20,33,101
30,35,18,49,33,135
33,16,33,15,18,82
34,0,33,15,18,66
35,18,33,15,18,84
37,18,33,16,19,86
39,18,35,28,8,89
40,16,19,28,8,71
43,8,15,16,19,58
44,15,35,15,18,83
45,16,19,15,18,68
46,19,33,16,17,85
47,15,18,16,17,66
49,16,17,15,18,66
51,15,18,15,18,66
52,18,33,18,15,84
53,15,18,18,15,66
54,36,15,19,15,85
56,15,34,17,15,81
58,15,32,20,15,82
60,15,35,15,18,83
61,0,35,15,18,68
62,15,33,34,16,98
63,15,18,34,16,83
64,18,34,16,16,84
65,16,18,16,16,66
67,16,16,15,19,66
68,16,34,16,19,85
69,15,19,16,19,69
70,19,35,48,18,120
71,16,19,48,18,101
72,34,15,18,18,85
73,30,36,16,15,97
75,18,18,16,15,67
76,18,31,19,15,83
77,0,31,19,15,65
79,19,15,16,18,68
81,0,34,16,15,65
82,18,31,19,18,86
83,16,15,19,18,68
84,15,37,16,15,83
88,15,34,19,15,83
89,19,15,19,15,68
90,15,34,16,18,83
92,15,34,16,15,80
93,16,18,16,15,65
94,18,31,19,15,83
96,34,15,16,18,83
97,19,15,16,18,68
98,15,34,15,19,83
100,18,34,15,16,83
101,34,31,19,18,102
102,19,31,19,18,87
103,0,31,19,18,68
104,16,37,13,20,86
105,19,18,13,20,70
106,18,33,16,15,82
108,20,31,19,15,85
109,16,15,19,15,65
111,34,33,16,19,102
112,15,33,16,19,83
113,33,35,17,16,101
114,34,19,17,16,86
115,35,33,16,18,102
